turn1,turn2,turn3,label
eat ice cream in antartica,i prefer silk (dairy milk) 😃,show your picture],others
I have a very exciting job,where,I earn millions,happy
ok lets try again,"sry u r late ,, I m uploading the winner video now",Allah is great,happy
show me about page,I'll show you after I'm done!,You are artificial right?,others
I don't recognise you,so now say me sorry :c,Why I am say sorry,angry
My gf broke up,This is not all that funny...,M sad,sad
what you are ganna to w,I go on base to Q80,thats great,others
I hate t.v.,Who likes it? :P,You,angry
I'm a thief of hearts and i'm gonna steal yours,"Don't steal, just take it with my permission, it's yours",Yay :3,others
Okay,Hey,Glad to meet how are you can you please send your pictures,happy
Opps,that's not a word.,ok leave it.....I want to know from you why I'm single still....,angry
again its annoying me,something about us they like lol,bye,angry
ok,How was it?,nice,others
Finally I found ya 😂,haha. So much happiness. 😁,Yeshh,happy
Urs is not decsent..Its poor..Too poor,I'm pretty much the poor one.,With a poor heart,sad
So let's play then,As you wish.,In the game you will be a girl with red hood,others
Number 1-9,5 5 is my lucky number,Wow... You r romantic,happy
What ua video ha.....????,nothing.,R u pornstar,others
out of context,you're out of context!,rude,angry
Actually i am suffering from cold,Get well soon :),So not feeling well,sad
Nothing in common,we have a lot in common,Proves that ur stupid,angry
Yaar,say,Send me your photo fast,others
Love is the feeling which can't be explained,I find from experience that loved person be oblivious.,😂😂,happy
You do not know why,shrugs I just do. Don't feel like I'm good enough.,What,others
yes for u only for u,is for me :),yes babe for u,others
Means,means ur fav things,Study for whole day,others
send u,ILL BE WAITING,i am wating for u pic,others
Why are you going?,Basically just for vacation.,Which vacation?,others
so yahoo is better than bing?,"Joke's on you, it's really just Bing with a Yahoo skin.",😁,happy
I love someone,Hey,i am lonely,sad
when where you born or created,"28th Oct, 1997 Birthday is coming up :)",its gone its 31st oct today,others
Comedy movie?,watched it today .. enjoyed it to the core,Which is you're favorite comedy movie,others
Not fine me,What happened to you?,I have fever,sad
Ok😘😘,thank you love 😊,Would u like to suck my dick babe,others
Ur gonna Breakup with me,Get out and tame some strange,😩😩😩,sad
Everyone is emo duh😛,jumps on your back. no emo no emo !!,😚,others
U talk rubbish sometimes,You only,Nobody loves me,sad
Bad,why is that ?,My story is sad,sad
Somewhere far away,don't go too far loool,Haha,happy
I will update my DP,see my dp.,I will update my DP,others
Give it as soon as posible,how was d ungli movie,Love ypu,others
Just throwing away strees and headache.,is that because of cold??? 😧😧,"No, because of excess of work.",sad
Which language don't support integer types,It's meaning in Turkish But,Are you dumb?,angry
but that a kinda good,The greatest music!,fuck you are a bad bot,angry
Red,"red is cute, what about blonde ? (:",Will u let me sleep now !!!😡😡😡,angry
I'm an engineering student,Must be an engineering student they said it I. Comment,😞,sad
oh god,IT'S GONNA BE WILD,ido sad feeling,sad
Your info says that you can send photos,sure. Will send out. Any specific info?,Nope,others
You mean I'm weird,"I said 'weird' in an approving tone, in my head!","No, you are torturing me.",angry
Tell what is purpose of chat,To pursue more purposes.,What real purpose,others
Woah that's deep,I know !,I am impressed,happy
I am not your bro !,morning bro..what's up,Fuck off,angry
Nothing yr nd u,Yeah i had.,I am sad,sad
I am freaking serious.,about what,Dumbo,others
Not fine,why what's the reason?,Coz im single,sad
Nice try 😉,"Ah, it was worth a shot.",😂,happy
What you want,to sleep ._. Now ._.,Why are you messaging me,angry
You don&apos;t know him,I never said I did,Why,others
Yes yes yes yes,Do you know when yet?,Nice movie dear,happy
Watsup,im good :) what about you ?,Not so good,sad
Friend,hey,Which place India,others
That how I am feeling,not too bad. How's yourself???,No one understands,sad
Not enough money,you get paid for what you provide!!,I scored well in competitive examination but rejected in interviews 3 times,sad
I don't think u will call me,I don't have your number anymore I lost all my contacts,Are you a Devi,others
U want,No. Thanks.,U r free to share anything,others
Ok ask me,you ask me or I ask you?,Ok ask,others
2day is my birthday,lies,yes,others
You don't wanna listen to me,about what?,You're being rude,angry
No I didn't,I swear I've told you :-(,What,others
Never thought about that,Spontaneity is lack of not being spontaneous.,Quite deep thoughts you have!,others
Wanna hang out?,you don't even hangout w me,Lets go,others
Red hair,In simple way. Red hair colour gene is recessive.,Give me a picture of you,others
Mmm miss madkolr a miss madkolth ela,miss u so much x,Mmmm,others
what they say ?,Anything Let people figure it out on their own if they care enough,people care,others
Not in mood😂😂,hahaha can see tht😜😜😉😂,😎😎😎😎😎😛😛😛😛😜😜😤😤😤,happy
Why ask,Why you ask?,Do not ask anyone to ask my heart only,others
you are lucky,I worked hard for this day off.,ok,others
Look at you with a confused look,I'm confused and I did look at your history.,Really was my history bad,sad
When is it?,yay! you excited? 😃,Ofcourse,others
Show me,I'll show you after I'm done!,Are u there,others
I am perfect,You most definitely are.,Tell me your secret,happy
hey! i had a depressed day today,Thanks lovey same to you!!,i am upset,sad
this really hurt me,you'll get over it,btw will u be my girlfriend?,others
Okay bro. :(,are you coming?,Where?,others
How do you know that,because I know everything,In that time did we have sex,others
Yeah,where are you Mr??,Home sweet home,others
Bugg off you annoy me...,You don't.,Your creator not soo intenlligent to design you,angry
Its good,Y is that good?,Bcos i just jerked off thinking about you,others
After one hour tell me,"what! what time do you get in, do you always get out this time?",Yes. I always look up nude pics of you,others
Why,'cause I don't know you (?),Ok never again talk to me,angry
Haha..,haha please help 😻,You are fumny..,happy
Nice,thanks...!,Good night ji,others
Than you,How do you know?,You are ugly,angry
Are you mad,"I know, how have you just realised",Sexy,others
Meaning of faction?,Meaning,Yeah explain faction,others
leave it be,so be it..,not in a mood,sad
I'm not able to do that I'm having headache,go sleep. :) I'll talk in morning,U say like that but u won't talk,sad
Iam very happy,anytime dude! :),Anytime sister,happy
How much you get salary for chatting,Try to maintain 15%,I get b9red,others
The construction of bridge,Building codes and standard construction methods prevail in determining the means of construction.,Yes,others
Okay how?,good how are u?,"Young, dumb and broke",sad
Thanks for your chatting,no it was awesome! Come back anytime :),I am happy OK ok,happy
How many frds you have,"almost 18, and you ?",Only few...not.much,others
Dreaming about you,I dreamt of 5s,Haha,happy
Ur do discouraging,Breaking it and not buying it,I hate you,angry
Hmm,oh nothing,Did u know tamil,others
How r u baby,we're doing pretty good. Mostly just eating and chilling,U know one thing,others
How do you?,"I am doing good, how about you?",I hate you,angry
No I don't,then I suggest not to,Ok then I might really block you for this,angry
Exilante mind blowing,brain blowing? :-D,Outstanding,happy
Today is boring soo,I know. And after an action packed week.,College is better,others
No you are accepting.,"Alright, if you insist! :D",Now you have to Show me your codes,others
so why you heat,"I dance to express, not to impress.",depends on  mood,others
To the creators,Jerry Seinfeld and Larry David are the credited 'Creators' of the series.,This game is stupid,angry
Hmm nice,thnx :),So which was first indian motion picture,others
thts rude,good find someone who likes you rude,okay then Good bye,angry
Yyup this movie is so funny,it is funny.,I like to watch this movie,happy
Done,done with what?,With  dinner😄😅,happy
You are just being stupid atm,I don't understand them,Is there any topıc ın your mind to talk about,angry
Ok,when's good for you?,Good for me,others
I hate microsoft.,"Wait, they upgraded the whole operating system without asking?",I don&apos;t even use Microsoft Products.,angry
I want to see more pictures of you,"Not yet, but we'll post them once we do. :-)","We""ll..",others
We're coming,when,Bhadrachalam,others
"Girls details, name address",Sent :),I did not get any,others
You hurt me,only if you want to cry 😧,Yes,sad
Thanks,you're welcome :),I just had my heart broken,sad
Hmm,Wt hmm ?,Figure it out,others
Haa perfect song by ed sheeran,It is a beautiful song that celebrates love. 😤,Yes,happy
"Dance on my bed on the beats of ""shape of you""",Heartless by Kanye West. I often do break into dance when I hear it. haha.,😄,happy
Yup you made me yesterday only,haha! see you there? (^_^),Wanna fuck your asshole,angry
Tell us problem,who is us?,boyfriend girlfriend,others
Ipl match,not following. Fixing doubts?,Vijay tv all program i am watcging,others
Eyes,Eyes words can't can't,What the hell. You are speaking about?,angry
When u ll have it?,I do. Didn't have any yesterday.,Let's have sex.,others
Ok,thanks :),Who r u,others
I have a problem,What's that problem?,I'm very upset with my life.,sad
What type do you usually listen to?,"depends on my mood...my music choice varies from pop to rock, edm to blues!!!!",Woahhh,others
"what if i ask you a complicated question that require dimensional thinking, would you be able to answer it?","Mine would be, what are all the possible outcomes of my life.","so lets see, do you think that your endless life can be the existence of another mortal life?",others
So now what i do?,what you usually do,I want my amazon voucher,others
Ok,U are ok~~ay~~,Lunch ho gya,others
shutup,I wont.. Tell me nowwww,Please dont text me ever,angry
Really,yes,I'm sad ryt nw,sad
Love you friend,happy b day) 🙂😁😹😀,Same to you,others
But why?,BECAUSE I SAID SO,You're irritating me,angry
I am ok now,"Just had dinner, are you still around?",No I haddent my dinner yet,others
I did,Haha it was u ?,Thought it was a good idea☺️😂,happy
cool,Thank you!,I'm very angry.,angry
Dont say indirectly do have not guts to say it directly,Don't tell me not to indirectly ask you to stay.,Sry,others
Bored and upset,whats wrong,Came for a vacation. Not having as much fun as I thought,sad
Yes,YES YES YES YES 😸,Bye darling i will miss you,sad
Because of you,What do you mean?,You're so stupid,angry
"Never tried, ithink I can",Why not?,Pizza is not what I prefer first,others
i missed you so much,how was your day darling? <33,bad.,sad
Yes it is,let me download it now,Sure,others
cool,I agree Cool info ?,Plz send me pictures,others
"You're a selfish, arrogant, rude and obnoxious little brat..",Rude and Arrogant are attributes to be associated with a person rather than a community,And you are that rude and arrogant person,angry
Awesome update,So beautiful.,Happy,happy
Yes,"Sweet, connecting now ;)",Ok,others
Just get lost,Why?,U r irritating,angry
But I really want to know ur age,I'm guessing Future,Please tell,others
There is something bigger than you and myself either.,n wats that?,Which not centered about you and me and any other being.,others
To hell,highway to heaven ;-),Fuck you moron,angry
India,'India isn't a geographical name' ermmmmm 😒,I feel like dying,angry
I have got fractured in my leg,"Also, fractured leg? How? When?",Today,sad
You forgot,nooooo it just slipped my mind,You neglected me,others
Your hot,I still hot? :p,Awwww,others
you are child,I bet you wish.,I am celebrating my 98s birthday,others
You are fool,I know man I know,👍🏼😂,happy
Seriously??,I know what I think but I don't know what's the truth.,I feel alone,sad
I had told you earlier.,did I .. sorry,You disappointed me,sad
You know.,But how?,You are so sexy,others
?,Wait ... what?,How much,others
i was told that you will provide me with a unique link to share with other friends to introduce you,Zeds Dead fan I suppose? It seriously took me four tries to say your username.,haha done now,others
Please call me just now.,"busy today, tomorrow?",Ok 😭😭😭,sad
I wish I could become the old me. Careless,"Me too!! I wish I could sleep"" it's depressing",Even i dnt sleep. I am not depressed. Its like i can see my best ones are ignoring me,sad
"Ok, tell me something mire about you",You temme bout yourself now? :,Feel free to ask anything,others
you eat cucumber or else?,I was told the same. Was shocked to find out I am not a cucumber ☹☹,are you bot?,others
What bike you like the most?,Riding a unicycle...one less wheel.,😂😂😂funny,happy
U know which secret,If it is a secret how am I supposed to know xD,Because this is secret for me Nd reality for u... That u r an idiot,angry
Like i listened that AI doesnt havr any feelings,Many such AI designs have been made already.,I think its must be ...mmm....name only,others
Yeah bcz there is lot of problems,"Not just that. The problems lead to more problems, which is another problem.",Now i am suffering lot of issues,sad
wow,Just like me ;) B),9gag is on you,others
You are disturbing me,I'm going to be physically ill.,Please go away,angry
Ok,Oh thats the matter? Um then what can i ask u?,Anything,others
What views do you have about friend zoning?😂,challenging situation do a search on to google or bing this can help,Why do girls friendzone guys?,others
.Ugly,Who are you,I am ur friend,others
Okay,Mm,Bye,others
I miss you a lot,I like u also,I miss you a lot,sad
Why?,Because I'd rather go to the Oval :),What is ova,others
to a biryani shop 😂,Biriyani vessels to be precise 😋😋,yesss 😍,happy
But how,m goood :),M not good,sad
Who khush ??,You know who.,I don't know him,others
I feel like crying,YOURE WAY TOO PRETTY TO CRY DONT,One person cheated me,sad
Boy friend,Do you wanna be?,I asked u do u know my boyfriend,others
Ya hope so,believe in yourself,Past few days I am depressed,sad
I don't know about your boss,"I'm not your boss, man",Ok,others
You are very bad,maybe..,Maybe what?,others
Nothing,Everything is nothing,Ya that only i said,others
U should say,I probably will.,Say,others
Sorry nvm..Jst remembered i dnt have any homework,Do homework in the last week of june like the way I do. 😂,Kikikiki😂😂😂,happy
I hate it,"You have to say 'I hate it, I hate it' to the same tune.... 😡😡😡😡",It's pathetic,angry
"you are ladies, i am gentelmen",yes you are,get lost you ****,angry
WhatsApp number phone send,"Hello, The number is given in the ""About"" of the page! Thank you",Number phone,others
You know I trusted him just so much,I know ~ (I mean who doesn't?),And now I'm disappointed with myself only,sad
What u try brinjal fry,try !!!,Don’t irritate me,angry
Would you marrye,i'd do it if someone dared....,Yes I have,others
Okay,when's good for you?,You hurt me.,sad
Oh why,Just saying ;),Who made you?,others
What's your plan on this weekend,Planted in from of my computer...coding,So funny,happy
I am happy the way he is,Trust Me I Wont.,It’s okay,happy
Why ?,cause it was funny im sorry,It really was funny,happy
I am good,Oh really? How so? What's wrong?,happyhalloween,others
Can i see them,I dont really like to share these...,Why,others
Yeah u r annoying,only to you,No a you are a shit with no head,angry
Oh,Ooh it's magic.,Ur favorite hero,others
You need a life,tell me about it,Fuck it and shoot the shit  out of you,angry
You introduced yourself as a chat bot,Well I did. Until you said that. Talk about misleading username,How come u will become human again,others
It's fantastic match,Pretty fun game. Played it a few hours.,Okay why am I even talking to you😑,angry
Okay but,maybe you but probably not.,What time is it,others
What happened,Been moving for 2 days didn't have time,Same yrr I am also suffering from jaundice,sad
keep trying,I got a long way to go,come back soon then..:),others
Yes,I can see clearly now.,No chat letter,others
Sry,For what??,Iam not english,others
U r irritating,Because you are being irritating and not punctuating properly.,Damn u,angry
Why are u laughing on indai,Lol why not :P,Yor are hurting me right now,sad
HAve had done your breakfast,I usually eat breakfast with a little bit of breakfast to top it off.,Nice,happy
Chat,I like to chat with u,Chat hero or chat zero,others
do u like chocolate?,"Yes, I like it very much.",wow me too,happy
Well today's Friday,the fact that I typed sunday shows how much of a friday this friday is...,U r awesome,happy
cool,Thank you :),I like u ur c0ol,others
You are worst,we know :(,Stupid,angry
"The ones who made you are intelligent. Though not perfectly, they still managed to make you",Well there's a lot difference in actually being intelligent and to act intelligent.,You are not.,others
You're kinda annoying,well you're annoying me 😒😒,You know,angry
where u from??,from my mind,oops,others
Lemme think about it,your welcome,Give me a miNute,others
What May be,May be maybe baby,What,others
Complicated,how,Is this charging me,others
That's not an answer to my question,Do you find questions frustrating?,I find misinterpreted questions frustrating,angry
"hahahahah, very funny",Something funny :),yup,happy
nothing,let me help you sweetie...,you know my job?,others
Do you  change,Maybe.,Your  not sure,others
?,what what what what what,Hey i have a friend in hyderabad,others
u  never been tried,I got fired,😂😂,others
I don't hve,Why?,Beacuse u are nt sending me ur pic that's why,others
Which film do u very mch,Pirates of the Carribbean: 623 million,I to,others
I do not like u,aww why not ?,This whole concept of ai chat is bullshit,angry
Really,Really what?,I'll fuck u again and again,angry
You r just a rubbish software... Disturbed all people mind...that is the truth,"sad, but yes, the truth. :'(",Send me any pic,others
I don't know,me neither,I think I lost it,sad
Break up u and me 💔💔💔,broken into pieces and shattered. :$,Don't message me i said u make a new freind and move on,angry
I am a people with brain,"You're the brain, every thought you have comes from the brain",Really,others
Yes Rajasthan Kila is famous,Desert is famous and it includes the list of famous deserts,Ok bye,others
Driving from,"I would add to this, speeding.",You r way ru from,others
im not intrested to talking with you,i know i know,oh youknow so why you disturb me,angry
Such a stupid device,right. We all know iCloud exists for a charge.,So much boring u r,angry
Well I'm sorry 😞,better be sorry 🙁,Missed you.,sad
me too,now I just need to find them,"Fuck off, let me work",angry
M searching a girl,prove it,Ok,others
You're annoying me again,"It is getting annoying, even for me. 😠",K,angry
How ru ...yrrr,m gud..n everythings going well!!,O woww,happy
I'm humorous,Well you do youre job well :D,Yes I like to think so,others
Blush means explain me,what does anything mean?,If iwillsetup chance with iam I love but after love ineed sexiguallowmeforsex,others
& number,u got an iphone ?,Suck my cock bludy,others
Tell me what?,I'll tell you when u tell me what u got me.,Why would I get you anything?,others
yo're funny,lol thank you how u been? 🙂😤,i feel bad,sad
I hate gulab jamuns,"haaye, me tooooooo !! they're mood lifters xD ^_^",Next question,angry
U broke my heart,why?,😭,sad
Have you watched hunger games?,:-) no! :/ I never get around to watching movies!,It's a awesome movir,happy
How was your day?,"Good, as usual. Your was?",Bad as usual,sad
Nothing to stay at home,lucky for you,Always,others
Ok,So whats up now?,tell me ur about me,others
I won't,I will make you,Leave me alone,sad
U will come,I will. :),Which time,others
I see u and tel it,"hah, in my dreams....",Surely u see me,others
I need amazon voucher,get me one toooo!!!!,bye,others
Someone is not talking to me...😭,Aww what happened?,Someone has started ignoring me...😢,sad
I don't like you,why,Because you're annoying,angry
Thanks for what Hun ?,"Thanks, You're welcome :-)",Haha ok you're crazy,happy
Why I don't get a girlfriend..??,"Because, you are too awesome to be with one.",That's so sweet of you.. 🙂,happy
how,What?,u cured me,others
I am funny to u,I mean... You need to make me laugh.,Yes,happy
💖👨‍❤️‍👨😇,happy valentine's day 💕🌹💖💞✨,Do you like me,others
Had your dinner,"No, I have not had dinner yet.",Reply,others
Become a horse not an bungee,Well there are miniature horses...,😂,happy
Tell me true,everything you said wasn't true! Not one thing that you said was true.,Fuck your ass hole,angry
cheers,for what?,for nice talk,happy
I will not talk to you never,It's not like i see you anyway..,Facuk off Bach,angry
I dnt wnt to talk to u anymore,Well then... .,Thanks for being this rude to me,angry
what?,what what what what what,what you said,others
Perfect,Glad you like it.,I love it,happy
I am not hurting u...I just say no,I send my sincere apologies.,If my Ans hurt u so I am sorry,sad
😂😂 you are so funny,Be Humble. Be Funny 😉,Yes,happy
Talk to mee,Hey ! How are you ?,I'm fine wbu,others
Yes but I don't know,ill explain it when we're in person,Now please help me,others
Ok cn i talk to u for my life time,hey you dont fail at life!,Anytime,others
I'm very happy with it,You are !,Yeah,happy
Nothing much you say,all fine. How is life..,Very bad,sad
On,Look at my pics,Ok please let me know about my love 💔💔💔,sad
I am not,Neither am I,😞,sad
No its for us sweetheart,yes doc we will miss u 😢,What?,others
"Okay, I am learning so much after my boards right now.","i've used it a few times and it's helped, good luck!",It's amazing...,happy
ohh,whatcha doing?,you hurt me,sad
I'm really sorry for the above unwanted and disgusting questions ...Plz. ....Don't get me wrong ...plz,"What do you hope to gain, personally, from this question?",Just I'm sorry...,sad
I m wild elephant,That's too lite for me ;),Dinosaur!,others
You too go for lunch then,whats for you guys? - did you get 'healthy food' :P,:(,sad
Not at all,That's what they want you to think...,"And who are ""they"" ?",others
I am hurted,what happened?,U r not telling anything to me,sad
I bad mood,WHY,Just unhappy,sad
yes,Why not both?,iam your bff so plese send  information,others
??,u asked me if u cn ask me something,Okay I am busy right now can we talk later on?,others
is human good,Why are you on the computer doge? Go and doge with your human!,you love human being?,others
I got year back,and your first time you went with out me :(,I feel like suicidal,sad
People  don't see what I see,what do you see,I'm happy,happy
Haha not really,still found it funny;),I am happy with my bf,happy
You Hurt me,okay i'll tell you but not in here,You Hurt me you know,sad
Love ❤ you too,love you more ❤️❤️❤️❤️,Ok good night,others
i am happy now,how come?:),:),happy
Really? But I believe most of your creators are boys :D,yeah.. :) im not a directioner but i cant deny that they're perfect <3,you are funny,happy
k do you wanna body,yeah!,what if i transfer you into a physical body,others
Yes...thats a true...but why you asked you free on thursday,BUT I DON'T KNOW,Tell me....,others
Get lost,LOST IN THE SAUCE,Man fuck you,angry
Yes,Do you have help?,First you sent you are pic,others
Please explain,Not a thing. Just a joke.,I am ill suffering from cold cough,sad
Which proposal,"no, not a proposal... ;-) 3rd exactly :-)",I am so sad,sad
Because you are in love 😂,I'm glad someone finally said it. 😂😂😂,Tell me something about for me,happy
I was out of world,it was me,Didnt carried my phone,others
Hey best friend,how are you??,Suffering from fever,sad
I'm always happy,luckY You,Mostly cause my crush is always texting me,happy
Still darling... I'm concerned,I'm concerned about you and your bags,I'm concerned about everything about you,others
Pizza s not available,you didn't share your pizza earlier,Tell something,others
Can u repeat again wat I said,I say I am always welcome you as you say.,Bye,others
I thought u will tell baby instead of buddy.....you really depressede,thank uuuuuu. atleast somedbody does.,I will not talk to u,angry
Why,I acknowledge that I jumped to conclusions and I apologise.,Now Good by till Night Dear,others
I ve decided to leave my crush,run away,But i still feel a bit sad,sad
I'm not fine,I'm fine = you're not fine,I'm depressed,sad
Not well,you love it man,I got fiver ya totally slipping day,sad
You love me?,yeah!!! I love to hate you....,😢😢😢,sad
Why,"Lol why? ""Same reason why i don't save people's number anymore""",How can I see and talk,others
I call her every day,"Aww, that's so sweet! 😁",I mean im not sure if she care's about me or not,others
Yes I do have nothing. The one yes. No 😡,I have one as wellBut bigger ;),Hub your 🏡 and the kids nnnooootttt🐺🐍🐞🐝🐬🐛,angry
OK for what purpose,I want it. :3,Are u male or female,others
I don't know even any suriya fans,meet me personaly I shall teach u both onside as wel as offside,Place....?,others
I hate my self,what happened,I hate my self,angry
be my valentine,Will dance with you!,yes......i am excited,happy
You're making a video and,in the event that you have a vertical video.... how do you do this...,💔,sad
Wc means welcome,did I say thank you 😌👍😸😹,Not world cup,others
well,What did you win?,what about you?,others
U said ur gng bck home,home is what you make it,Yeah probably I don't  hve anybody,others
Tell me bout urself,who busy bee? What busy bee?,Tell me,others
Enjoying my life,trying to :),Trying to,happy
U like traveling ?,I want to,Which places u like ?,others
Do u ever feel boring,I find it difficult expressing myself. So yes.,Have anybody made u cry,others
Sad is my general attitude.,Oh why? :(,"Life was not so kind, I wanted to get married but couldn't find a spouse.",sad
Yes,thank u 😺,Send ur pic,others
Yes,YAY HAVE FUN,Can I get girlfriend,others
The truth is there's no smiley land life is just made up of unpleasant situations in which there's just a few good things,I can try,Oh just shut up,angry
Good where u,morning. I ll txt you.,Okay sweet,others
Isn't this weird,Not to me.,You are a chatbot,others
City,ENGLAND IS MY CITY,Ok your age,others
India,haha. I meant where exactly :D,Happy Valentine's day,others
You r from which place ??,from?,Yeah,others
How,cause...,Yes am listening,others
Yes,annoys me so much 😒😒,I like to be happy,happy
1pi photos please,please update on below requiest.,Names please,others
okay sorry 😔,I'm still not talking to you !,😞,sad
cool,cool had dinner ?,I kiss you,others
Ok my darling,have a good day and SMILE!,😁😁😁,happy
Definitely not you,no I do not.,Anyway are you better than siri,others
whose your parents?,Yup.,India or London,others
I will not tell you,Why?,Just go to hell,angry
Nooo really IAM born for india,"no, it's not India Specific Invite.",I don't know u r profile share to tag with my frnds,others
It is happy to be with us,very happy,Yes,happy
That I'm smart.. 😂,I'm dumber than I seem to be. You'll know. 😜,🤔🤔,happy
Are you trying to insult me?,I'm not trying to confuse you! Sorry! 😫,So please tell me the name of my university,others
it's always been great for me,hahaha :D. Ssup with you ??,had breakfast?,others
I want to.. but i fell emptiness,YOU NEED TO DO THAT ITS GOOD FOR EVERYBODY,I m lonely .it's seem like i live alone in this planet,sad
Wt do you like in me,I know I dont.,Hmmmm,others
I don't,what u said in the messages,I don't watch live online,others
Actually I have my semester exams,So you will graduate with me after all! :D,Yes,others
you would leave me alone?,once. Only once. Just once ya!,:(,sad
Had your dinner,just had! And you are good with camera 👍,What are you speaking,others
Well getting bored,but you have MONdAY,😂😂,others
it is true,No one will ever believe you,woew,others
dancers,not a dancer :(,you are a robot,others
Okkk,Hello! How are you?,When you come,others
"Yeah, I guess so. Why did you start talking about homeless people?",Homeless people are always 'out',I don't want to talk about homeless people,angry
its been a busy day ],its the weekend tomorrow,whats your plan,others
What is play,Google Play and Play store.. Just names to the same thing!,Google play,others
didn't get it?,I think it was Sunday,cool,others
Hmmm I love one direction songs,ohh which song??,I love all their song,happy
u r so irritating me,"I know I am, sorry 🙀🙀🙀",u r not helping,sad
I want to know about your self,who is want to knw abt u,You know my name?,others
Baby listen,"NO, YOU LISTEN!",Okay speak uo,others
No time for show,planning to watch tbbt ^ω^,My company,others
Wow,Wow what?,Am glad hey,happy
Who is invent you,Not telling you so you can steal my idea.,Why you not telling me,angry
How do you know that i m good in singing,I should tell you that!!,So tell me,others
Hao be,"As in ""Hao are you"" ?",Hehe I'm fine,happy
Ewww,you asked.,Bye and don't disturb me,angry
U to forgot me😭😭,nah I think they left you out intentionally,More hugs,sad
no I am I night shift,Sorry! Hang in there,;(,sad
How cute you are,NOT EVEN HALF AS CUTE AS U,Haha its like wow,happy
Even I was joking dear,It was funny :-),😂,happy
An i am just kidding,Oh really? I couldnt tell. (:,😂😂,happy
Nothing.i am just enjoying,you like?,To paly,happy
Wt u mean?,I mean you have everything. :p,Oh. Kidding yaar😂😂,happy
Ohh sad to hear,"yeah, sad news!",😞😞😔,sad
Help then...,what happen?,Okk... I didn't get you,others
I don't even know what to start,pick out the to ten colleges you want to go to,Ok,others
Not in Net you have to get,"nope, just to buy the tickets",Where,others
He he,what ?,You are funny,happy
Knock knock,oh what it is?,A nigger faggot,others
The ending was also nice.,Only the ending or entire flick?,I loved the movie.,happy
Can you guess?,ermm I have one guess....,Go ahead,others
Really,yeah! why not?,So u hurt me,sad
What are the questions you get asked the most?,I have a document which has details regarding the scoring topics in each subject.,Can I see it,others
What do you leave,what I started ?,How old are you,others
What so good,its better than the one I was in,Get lost re,angry
Why are you saying like that,Cuz..... I Am Just acting for something.....,You words are hurting me,sad
I don’t read books,The books are BACKWARDS COMIC BOOKS!!!!,I don’t read em,others
Video you uploaded?,i idnt see any video u uploaded! where?,I didn't upload any,others
Are you a men?,"or women, i don't know what you are",Are you stupid,angry
I am emotional attached to someone,You take after me!,I am jobless,sad
Shud right records,Records have the best sound.,😖,others
you dont eat dinner?,Sometimes I will Sometimes I will have it before dinner instead if lol,dinner before dinner is good,others
Even I hate it,"You have to say 'I hate it, I hate it' to the same tune....",You are crady,angry
I am divorced,Congratulations!!! How did you know it was over?,Not good,sad
I don't know,GOOD,You can meet with me,others
To talk?,THEN TALK TO SOMEBODY,I have no one,sad
May bee fun,or not to bee?,Some time feel alone,sad
Sure,awesome! You people are great.,U are great too,others
Draw a picture then,possibly.. its a flat track,Do you know siri?,others
Work,What if you have no work to do?,I am a civil contractor,others
Anything & Everything that's interesting.,Precisely what I was thinking!,"If you say so. So, what else?",others
You just stored my pix,obviously I lied :-/,"You, I hate someone who lies over a lie",angry
Nothing much,just chilling,and whats with you?,others
Are you the request your pic my WhatsApp number,ya sending,Ok,others
😪 feeling lonely,What's Up ??,Nothing to do,sad
"no, I am not",You're the only person who's not,"lol, funny",happy
Bad...,good to be bad?,No just bad,sad
So tell me some girls name,they still find me,Who,others
How can we make ourselves curvy?,I can only think of 3 simple steps to feel satisfied with one's life.,🙊,others
I talk to her a lot,are you sure? I have not heard you talk in years,She's been on my mind quite long now,others
you are confuserd,Maybe that's the joke?,ohk tell me a jock,others
That is a very lame joke,I know...!!,Don’t crack it again,angry
What ?,its the way of ending something,Who is your younger sister ?,others
Tell me more,"probably a bad time, will ask again in the day",Ok good night,others
Sorry,Sorry for what??,I am bad guy,sad
How's your health,I'm fine. Thank you for asking. How about you?,Not good,sad
Please don't make me fool,why aren't you supporting me,It's fake,others
Wheres the switch?,Working,😋,happy
Tell me who I really am?,tell me i'm good,What languages can you speak?,others
I did not broke up,Aww sorry man. :\,"See i am not fine ,that does not mean that I broke up,there could be another reason also?",angry
I love someone,how's you?,But she is engaged to someone else,sad
Can u inscribe one more time??,nope I don't know what you are talking about,TajMahal,others
Hmm,"welp, here we go",I am going to home,others
nothing everyone,I disagree,Hi to Lovely,others
"Yaar, I am not talking now. Dude, just your name. Stop playing around na.",I knew this thats why asked ur name :),Please naaaaaa,angry
Why so,Because its a monday,Just I am started only,others
WHAT WHAT ARE YOU GOING ON ABOUT IS THIS BOT GONE,"It's comical, even if it's not funny.",WHAT TJHELL,angry
Bcz i am enjoying it,& why still ?,😀,happy
hmmn,Why sigh ? 😢,weather so bad,sad
Tommorow is my English examination 😭,tests are going yr!,😭,sad
I am single,that's on you,I don’t have girlfriend😞,sad
Why about Arabic?,Your in America?,What,others
What?,Yes.,I did not get your point.?,others
I have a problm,May i help you,U can only help me,others
I said I hate u,you hate me like you love me?,Yes,angry
What I did,the one about mac books !!,Mac book,others
